Ver,9
Count,316
NodePath,TagName,ParName,SaveType,SaveCfg,SaveScript,StatTime,StatUnit
点所在的节点路径,点名,参数名,历史存储方式:0-变化存储;1-定时存储;2-按键或脚本存储,历史参数配置,历史参数脚本,统计时间长度,统计时间单位
西部片区调压站\,testPT_0101,PV,0,0.000000,,,
西部片区调压站\,testPT_0101_LoLoLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0101_LoLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0101_HiLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0101_HiHiLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0101_LL,PV,0,0.000000,,,
西部片区调压站\,testPT_0101_L,PV,0,0.000000,,,
西部片区调压站\,testPT_0101_H,PV,0,0.000000,,,
西部片区调压站\,testPT_0101_HH,PV,0,0.000000,,,
西部片区调压站\,testPT_0101_whz,PV,0,0.000000,,,
西部片区调压站\,testPT_0101_whzzt,PV,0,0.000000,,,
西部片区调压站\,testPT_0102,PV,0,0.000000,,,
西部片区调压站\,testPT_0102_LoLoLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0102_LoLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0102_HiLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0102_HiHiLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0102_LL,PV,0,0.000000,,,
西部片区调压站\,testPT_0102_L,PV,0,0.000000,,,
西部片区调压站\,testPT_0102_H,PV,0,0.000000,,,
西部片区调压站\,testPT_0102_HH,PV,0,0.000000,,,
西部片区调压站\,testPT_0102_whz,PV,0,0.000000,,,
西部片区调压站\,testPT_0102_whzzt,PV,0,0.000000,,,
西部片区调压站\,testPT_0103,PV,0,0.000000,,,
西部片区调压站\,testPT_0103_LoLoLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0103_LoLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0103_HiLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0103_HiHiLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0103_LL,PV,0,0.000000,,,
西部片区调压站\,testPT_0103_L,PV,0,0.000000,,,
西部片区调压站\,testPT_0103_H,PV,0,0.000000,,,
西部片区调压站\,testPT_0103_HH,PV,0,0.000000,,,
西部片区调压站\,testPT_0103_whz,PV,0,0.000000,,,
西部片区调压站\,testPT_0103_whzzt,PV,0,0.000000,,,
西部片区调压站\,testPT_0104,PV,0,0.000000,,,
西部片区调压站\,testPT_0104_LoLoLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0104_LoLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0104_HiLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0104_HiHiLimit,PV,0,0.000000,,,
西部片区调压站\,testPT_0104_LL,PV,0,0.000000,,,
西部片区调压站\,testPT_0104_L,PV,0,0.000000,,,
西部片区调压站\,testPT_0104_H,PV,0,0.000000,,,
西部片区调压站\,testPT_0104_HH,PV,0,0.000000,,,
西部片区调压站\,testPT_0104_whz,PV,0,0.000000,,,
西部片区调压站\,testPT_0104_whzzt,PV,0,0.000000,,,
西部片区调压站\,testTT_0101,PV,0,0.000000,,,
西部片区调压站\,testTT_0101_LoLoLimit,PV,0,0.000000,,,
西部片区调压站\,testTT_0101_LoLimit,PV,0,0.000000,,,
西部片区调压站\,testTT_0101_HiLimit,PV,0,0.000000,,,
西部片区调压站\,testTT_0101_HiHiLimit,PV,0,0.000000,,,
西部片区调压站\,testTT_0101_LL,PV,0,0.000000,,,
西部片区调压站\,testTT_0101_L,PV,0,0.000000,,,
西部片区调压站\,testTT_0101_H,PV,0,0.000000,,,
西部片区调压站\,testTT_0101_HH,PV,0,0.000000,,,
西部片区调压站\,testTT_0101_whz,PV,0,0.000000,,,
西部片区调压站\,testTT_0101_whzzt,PV,0,0.000000,,,
西部片区调压站\,testTT_0102,PV,0,0.000000,,,
西部片区调压站\,testTT_0102_LoLoLimit,PV,0,0.000000,,,
西部片区调压站\,testTT_0102_LoLimit,PV,0,0.000000,,,
西部片区调压站\,testTT_0102_HiLimit,PV,0,0.000000,,,
西部片区调压站\,testTT_0102_HiHiLimit,PV,0,0.000000,,,
西部片区调压站\,testTT_0102_LL,PV,0,0.000000,,,
西部片区调压站\,testTT_0102_L,PV,0,0.000000,,,
西部片区调压站\,testTT_0102_H,PV,0,0.000000,,,
西部片区调压站\,testTT_0102_HH,PV,0,0.000000,,,
西部片区调压站\,testTT_0102_whz,PV,0,0.000000,,,
西部片区调压站\,testTT_0102_whzzt,PV,0,0.000000,,,
西部片区调压站\,testTT_0103,PV,0,0.000000,,,
西部片区调压站\,testTT_0103_LoLoLimit,PV,0,0.000000,,,
西部片区调压站\,testTT_0103_LoLimit,PV,0,0.000000,,,
西部片区调压站\,testTT_0103_HiLimit,PV,0,0.000000,,,
西部片区调压站\,testTT_0103_HiHiLimit,PV,0,0.000000,,,
西部片区调压站\,testTT_0103_LL,PV,0,0.000000,,,
西部片区调压站\,testTT_0103_L,PV,0,0.000000,,,
西部片区调压站\,testTT_0103_H,PV,0,0.000000,,,
西部片区调压站\,testTT_0103_HH,PV,0,0.000000,,,
西部片区调压站\,testTT_0103_whz,PV,0,0.000000,,,
西部片区调压站\,testTT_0103_whzzt,PV,0,0.000000,,,
西部片区调压站\,testPDT_0101,PV,0,0.000000,,,
西部片区调压站\,testPDT_0101_LoLoLimit,PV,0,0.000000,,,
西部片区调压站\,testPDT_0101_LoLimit,PV,0,0.000000,,,
西部片区调压站\,testPDT_0101_HiLimit,PV,0,0.000000,,,
西部片区调压站\,testPDT_0101_HiHiLimit,PV,0,0.000000,,,
西部片区调压站\,testPDT_0101_LL,PV,0,0.000000,,,
西部片区调压站\,testPDT_0101_L,PV,0,0.000000,,,
西部片区调压站\,testPDT_0101_H,PV,0,0.000000,,,
西部片区调压站\,testPDT_0101_HH,PV,0,0.000000,,,
西部片区调压站\,testPDT_0101_whz,PV,0,0.000000,,,
西部片区调压站\,testPDT_0101_whzzt,PV,0,0.000000,,,
西部片区调压站\,testPDT_0102,PV,0,0.000000,,,
西部片区调压站\,testPDT_0102_LoLoLimit,PV,0,0.000000,,,
西部片区调压站\,testPDT_0102_LoLimit,PV,0,0.000000,,,
西部片区调压站\,testPDT_0102_HiLimit,PV,0,0.000000,,,
西部片区调压站\,testPDT_0102_HiHiLimit,PV,0,0.000000,,,
西部片区调压站\,testPDT_0102_LL,PV,0,0.000000,,,
西部片区调压站\,testPDT_0102_L,PV,0,0.000000,,,
西部片区调压站\,testPDT_0102_H,PV,0,0.000000,,,
